residence,code,lat,long,2009,2010,2011,2012,2013,2014
香港.澳門 HongKong. Macao,HKG,22.2123,114.811,718806,794362,817944,1016356,1183341,1375770
大陸 Mainland China,CHN,34.405,104.957,972123,1630735,1784185,2586428,2874702,3987152
日本 Japan,JPN,34.531,134.2248,1000661,1080153,1294758,1432315,1421550,1634790
韓國 Korea,KOR,35.545,127.449,167641,216901,242902,259089,351301,527684
印度 India,IND,21.732,82.4741,18555,23849,23927,23251,23318,30168
馬來西亞 Malaysia,MYS,4.633,109.272,166987,285734,307898,341032,394326,439240
新加坡 Singapore,SGP,1.2153,103.4921,194523,241334,299599,327253,364733,376235
印尼 Indonesia,IDN,-2.317,118.056,106612,123834,156281,163598,171299,182704
菲律賓 Philippines,PHL,12.5255,121.461,77206,87944,101539,105130,99698,136978
泰國 Thailand,THA,13.211,101.2932,78405,92949,102902,97712,104138,104812
越南 Vietnam,VNM,15.5827,105.4823,-1,-1,-1,89354,118467,137177
加拿大 Canada,CAN,62.2335,-96.495,60138,64739,67545,70614,72693,88601
美國 U.S.A.,USA,36.5759,-95.5038,369258,395729,412617,411416,414060,458691
墨西哥 Mexico,MEX,23.3729,-102.3443,1787,2142,2010,2323,2295,3172
巴西 Brazil,BRA,-14.1434,-53.1121,3618,4106,4195,4097,3940,4551
阿根廷 Argentina,ARG,-38.2516,-63.3514,873,984,968,1045,1124,1191
比利時 Belgium,BEL,50.2958,4.2831,4492,4435,4348,4781,4756,5352
法國 France,FRA,46.1355,2.1234,25245,26455,29082,31452,32384,36379
德國 Germany,DEU,51.956,10.279,39533,42446,44644,45054,46533,52507
義大利 Italy,ITA,41.5226,12.335,12237,12246,12407,12932,13663,14895
荷蘭 Netherlands,NLD,52.758,5.1742,11230,13158,14401,15797,16443,18498
瑞士 Switzerland,CHE,46.4855,8.1328,6449,6594,6958,7569,8030,8708
西班牙 Spain,ESP,39.5344,-2.2912,5652,5770,6196,6163,7128,8403
英國 U.K.,GBR,54.3759,-3.2556,44815,44430,43419,42776,42438,58201
奧地利 Austria,AUT,47.4149,13.2047,4968,5806,6368,5609,5350,6063
希臘 Greece,GRC,38.1631,23.4837,1348,1258,1129,1192,1167,1440
瑞典 Sweden,SWE,62.1159,17.3814,6007,6519,6983,7128,7136,8083
俄羅斯 Russian,RUS,60,100,-1,5457,6667,7066,7226,8353
澳大利亞 Australia,AUS,-26.5112,133.163,57147,62254,60067,63597,65777,78674
紐西蘭 New Zealand,NZL,-40.5016,174.27,8011,8644,9436,10734,10694,12886
南非 S. Africa,ZAF,-28.2859,24.4037,4009,4066,4709,4222,4164,4504
